 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                                         
  api.custom.updateapi.finish                                         GET           ANY      ANY    /api/v{version}/_action/update/finish/{token}                                                
  api.action.message-queue.consume                                    POST          ANY      ANY    /api/v{version}/_action/message-queue/consume                                                
  api.action.scheduled-task.run                                       POST          ANY      ANY    /api/v{version}/_action/scheduled-task/run                                                   
  api.action.scheduled-task.min-run-interval                          GET           ANY      ANY    /api/v{version}/_action/scheduled-task/min-run-interval                                      
  api.action.database.sync-migration                                  POST          ANY      ANY    /api/v{version}/_action/database/sync-migration                                              
  api.action.database.migrate                                         POST          ANY      ANY    /api/v{version}/_action/database/migrate                                                     
  api.action.database.migrate-destructive                             POST          ANY      ANY    /api/v{version}/_action/database/migrate-destructive                                         
  _twig_error_test                                                    ANY           ANY      ANY    /_error/{code}.{_format}                                                                     
  api.action.user.user-recovery                                       POST          ANY      ANY    /api/v{version}/_action/user/user-recovery                                                   
  api.action.user.user-recovery.hash                                  GET           ANY      ANY    /api/v{version}/_action/user/user-recovery/hash                                              
  api.action.user.user-recovery.password                              PATCH         ANY      ANY    /api/v{version}/_action/user/user-recovery/password                                          
  api.action.check-email-unique                                       POST          ANY      ANY    /api/v{version}/_action/user/check-email-unique                                              
  api.action.check-username-unique                                    POST          ANY      ANY    /api/v{version}/_action/user/check-username-unique                                           
  api.action.snippet-set.getList                                      POST          ANY      ANY    /api/v{version}/_action/snippet-set                                                          
  api.action.snippet.get.filter                                       GET           ANY      ANY    /api/{version}/_action/snippet/filter                                                        
  api.action.snippet-set.base-file                                    GET           ANY      ANY    /api/{version}/_action/snippet-set/baseFile                                                  
  api.action.snippet-set.author                                       GET           ANY      ANY    /api/{version}/_action/snippet-set/author                                                    
  api.action.attribute-set.get-relations                              GET           ANY      ANY    /api/v{version}/_action/attribute-set/relations                                              
  api.action.core.system-config.check                                 GET           ANY      ANY    /api/v{version}/_action/system-config/check                                                  
  api.action.core.system-config                                       GET           ANY      ANY    /api/v{version}/_action/system-config/schema                                                 
  api.action.core.system-config.value                                 GET           ANY      ANY    /api/v{version}/_action/system-config                                                        
  api.action.core.save.system-config                                  POST          ANY      ANY    /api/v{version}/_action/system-config                                                        
  api.action.core.save.system-config.batch                            POST          ANY      ANY    /api/v{version}/_action/system-config/batch                                                  
  api.action.number-range.reserve                                     GET           ANY      ANY    /api/v{version}/_action/number-range/reserve/{type}/{saleschannel}                           
  api.action.number-range.preview-pattern                             GET           ANY      ANY    /api/v{version}/_action/number-range/preview-pattern/{type}                                  
  sales-channel-api.info.openapi3                                     GET           ANY      ANY    /sales-channel-api/v{version}/_info/openapi3.json                                            
  sales-channel-api.info.open-api-schema                              GET           ANY      ANY    /sales-channel-api/v{version}/_info/open-api-schema.json                                     
  sales-channel-api.info.swagger                                      GET           ANY      ANY    /sales-channel-api/v{version}/_info/swagger.html                                             
  sales-channel-api.context.update                                    PATCH         ANY      ANY    /sales-channel-api/v{version}/context                                                        
  sales-channel-api.context.get                                       GET           ANY      ANY    /sales-channel-api/v{version}/context                                                        
  store-api.info.openapi3                                             GET           ANY      ANY    /store-api/v{version}/_info/openapi3.json                                                    
  store-api.info.open-api-schema                                      GET           ANY      ANY    /store-api/v{version}/_info/open-api-schema.json                                             
  store-api.info.swagger                                              GET           ANY      ANY    /store-api/v{version}/_info/swagger.html                                                     
  store-api.context                                                   GET           ANY      ANY    /store-api/v{version}/context                                                                
  store-api.switch-context                                            PATCH         ANY      ANY    /store-api/v{version}/context                                                                
  api.state_machine.states                                            GET           ANY      ANY    /api/v{version}/_action/state-machine/{entityName}/{entityId}/state                          
  api.state_machine.transition_state                                  POST          ANY      ANY    /api/v{version}/_action/state-machine/{entityName}/{entityId}/state/{transition}             
  store-api.currency                                                  GET|POST      ANY      ANY    /store-api/v{version}/currency                                                               
  store-api.language                                                  GET|POST      ANY      ANY    /store-api/v{version}/language                                                               
  store-api.salutation                                                GET|POST      ANY      ANY    /store-api/v{version}/salutation                                                             
  store-api.country                                                   GET|POST      ANY      ANY    /store-api/v{version}/country                                                                
  sales-channel-api.cms.page                                          GET           ANY      ANY    /sales-channel-api/v{version}/cms-page/{pageId}                                              
